,O15232,O60635,P07585,P08727,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
171,-1.4735,-0.188,-1.9283,-1.7959,-2.522,-0.9414,-1.6455,-1.5028,-2.0284,0.4157,-2.136,0
172,-1.2988,-0.4921,-1.1189,-0.733,-0.0273,0.62,-1.389,-1.2046,0.4908,0.5215,-0.5386,0
173,-0.5704,0.582,-1.6933,-0.9952,-2.6853,-1.1378,-2.2795,-1.148,-1.3859,-1.303,-1.9681,0
174,-2.636,-0.3751,-2.0422,-1.841,-0.958,-0.7562,-1.9585,-2.1511,-1.9725,-0.9682,-2.2727,0
175,-2.2718,-0.4569,-2.6541,-1.776,-2.7827,-1.1244,-1.9512,-0.9016,-1.9039,-2.3872,-2.3874,0
176,-1.4691,-0.3914,-1.9012,-2.8834,-3.0473,-1.1987,-1.5335,-1.1411,-1.0827,-1.5061,-1.4977,0
177,-0.6962,-0.5839,-1.8917,-0.4537,-2.3913,-1.2173,-1.966,-0.405,-0.2525,-1.3533,-1.8507,0
178,-0.6295,-0.7539,-1.5273,-0.8603,0.6091,-1.1382,-1.4401,0.3342,-2.4194,0.9099,-0.8346,0
179,-0.856,-0.31,-2.6815,-1.1754,-3.1951,-1.2288,-1.4715,-0.9135,-0.944,-1.5784,-2.6046,0
180,-1.4338,-0.262,-1.8269,-1.1713,-4.2818,-0.9239,-1.4843,-1.0748,-1.4789,-0.8715,-2.4204,0
181,0.1186,-0.3483,-2.162,2.4806,0.8337,-0.4614,-1.2021,-0.5575,-0.5331,-1.7198,-1.7619,0
182,-1.0534,-0.6261,-1.4998,0.6802,-3.8748,-1.6085,-0.9162,-0.3619,-1.9089,-2.1263,-1.4687,0
183,-0.6785,-0.796,-2.689,1.2653,-0.1189,-1.4003,-1.865,-0.268,-0.1741,-0.8919,-2.0024,0
184,-1.3197,-0.6156,-0.981,-1.4837,1.1865,-0.4409,-1.5571,-1.4513,-1.5998,-1.7224,-2.5932,0
