,P07585,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
207,-0.3699,1.5726,-0.4811,-0.6907,0.8774,6.0037,0.146,1.3828,0
208,-1.3826,-1.9752,-0.7525,-1.1707,-0.2362,2.2262,-1.8198,-1.6762,0
209,-2.5529,-2.3757,-0.8904,-1.2595,-1.1716,0.4152,-1.6364,-1.9502,0
210,-1.3865,-3.1132,-1.4545,-1.3587,0.1072,-0.8722,-1.1047,-1.3141,0
211,-1.2478,-2.5269,-1.7148,-1.4362,1.1996,0.3339,-1.5249,-2.0374,0
212,-1.4662,-3.1159,-1.0023,-1.0692,0.5521,-0.1436,-0.2048,-1.5841,0
213,0.0562,0.6519,0.0635,-0.7957,-0.3198,-0.3392,1.0674,-1.8495,0
214,-3.117,-4.7316,-1.5555,-2.1619,-0.9474,-1.9127,-1.8769,-2.3257,0
215,-1.9958,-2.1864,-1.1417,-1.6358,-1.2171,-0.9349,-1.7206,-2.1518,0
216,-2.2149,-1.9531,-1.3092,-1.8185,-0.6925,-0.9349,-2.3948,-1.8051,0
217,-1.9175,2.1569,-0.8775,-1.4353,-1.0519,-1.3226,-0.0627,-1.6532,0
218,-2.656,-3.6474,-1.4984,-2.2658,-1.4796,-2.609,-1.3403,-3.0713,0
219,-1.6065,2.6352,-0.821,-1.2119,-1.6213,-0.1068,-0.5984,-0.4295,0
220,-2.4236,-0.017,-0.4761,-1.9784,-0.5163,-1.0168,-2.973,-1.725,0
221,-1.1345,-1.6932,0.0507,-1.4573,-0.6588,1.2133,-0.5366,0.014,0
222,0.2205,2.5095,0.3606,-0.5424,1.8225,-0.869,0.6575,-0.0208,0
223,-1.6871,-3.8096,-1.347,-1.5945,-1.2969,-1.4903,-0.7019,0.266,0
224,-0.261,0.2156,-0.1502,-0.2502,0.2181,-0.8512,0.6627,0.6285,0
225,-1.787,-0.9566,-1.0638,-1.4042,-0.207,1.2416,-1.6607,-1.7473,0
226,0.8885,2.609,-0.0109,-0.3053,1.85,1.4402,2.1852,-0.3393,0
227,-0.9695,-0.6744,-0.8144,-1.2999,-0.9173,1.7674,0.5495,-0.6117,0
228,-1.5764,-1.774,-1.8699,-1.6659,0.015,-1.3909,-1.9041,-0.3792,0
229,-1.2014,3.8243,-0.4767,-1.7378,4.8475,-1.9408,2.0649,-1.3295,0
230,-1.3667,-0.968,0.0161,-1.0936,0.1138,0.4009,-0.9737,0.3587,0
231,-1.7004,-0.9322,-0.1819,-1.255,-1.2688,0.7611,-0.9284,-0.9199,0
