,O14793,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q92820,Q969V3,Q96NZ8,Q99748,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
95,-1.2048,-0.287,-0.9892,-1.8291,-1.1401,0.1438,-2.0958,-0.5851,-0.9488,-0.3251,-0.4305,-2.3581,-0.1376,-1.1313,-0.4389,-1.399,-1.2862,0
96,-2.6825,0.1917,-1.6149,2.1125,-0.6186,0.2219,-2.3355,-0.6124,-1.1895,-0.972,-0.5335,-2.6636,0.6257,-0.7153,-0.5904,-1.814,-1.8982,0
97,-3.2885,-0.3884,-1.7112,-1.592,0.2371,0.3122,-2.3915,0.7495,0.0557,-1.6613,-0.4479,-2.1286,-0.3509,-1.0578,0.6014,-1.9861,-1.6619,0
98,-2.2985,-0.576,-1.8736,0.9495,-1.3902,-0.574,-2.7605,-0.4422,-2.3166,-0.9447,-0.4454,-2.3198,-0.5283,-0.9951,-1.4588,-1.6759,-2.0069,0
99,-1.5647,-0.346,-1.3739,-0.3744,-0.5134,-1.8992,-1.9852,-1.4589,-1.3916,-1.1199,-0.4635,-2.627,-0.1835,-1.1463,-0.512,-1.6089,-1.7349,0
100,-3.3058,-0.6044,-2.6817,-1.3552,-1.142,-0.7542,-2.1028,-0.3609,-2.2701,-0.4843,-0.0719,-2.525,-0.1788,-1.6142,-2.1554,-2.0983,-2.2859,0
101,-2.2811,0.0089,-2.2348,-0.4278,-0.9724,-0.4585,-2.873,0.5546,-1.3697,-1.8938,-0.2689,-2.7594,0.3706,-0.6443,-2.3054,-2.5537,0.3621,0
102,-1.6303,-0.5795,0.4861,0.2889,0.0474,0.1161,-1.692,0.1653,1.7113,-0.7916,-0.4756,-1.4817,-0.3764,-0.4575,0.8313,-2.5296,-1.3527,0
103,-1.7582,-0.19,-1.8613,-1.2057,-1.193,-0.1808,-2.137,-0.7821,-0.3853,-1.0272,-0.129,-1.8256,-0.1468,-1.2403,-2.2072,-1.8695,-1.9461,0
104,-2.4008,-0.6829,-2.1993,-1.5749,-1.2052,-0.9997,-1.6297,-0.9329,-2.4762,-1.8448,-0.809,-1.6666,-0.3955,-1.7572,0.7769,-2.7062,-0.8245,0
105,-1.1953,1.2687,-0.0552,5.2902,-0.8051,1.0022,-2.1594,2.1297,3.1662,-1.6582,-0.2567,-3.2345,0.4224,-0.0427,-0.2815,-3.2757,1.4189,0
106,-3.1783,-0.8096,-1.7509,-0.1523,-0.2829,-0.09,-1.2159,-1.0505,-2.2311,-0.7798,-0.3716,-2.1647,-0.0161,-0.084,-0.5876,-1.9114,-1.4822,0
107,-2.2993,0.309,-2.1304,1.3037,-1.9735,-0.391,-1.8424,-0.2217,-0.2163,-1.1074,-0.3962,-2.0448,0.3876,-1.2835,-1.7325,-1.5213,0.0998,0
108,-1.2236,-0.2616,-1.6582,0.2945,-1.3388,-0.157,-2.2796,0.6958,-2.1744,-0.5802,-0.3618,-2.1957,0.1421,-1.1153,-1.0932,-1.2951,-1.7773,0
109,-0.7559,-0.5937,0.3221,0.8956,0.3344,-0.0546,-1.3377,0.6811,0.7363,-1.1091,0.1526,-1.886,-0.0737,0.1289,-0.5652,-1.445,-1.1602,0
110,-2.7431,-0.5728,-0.6004,1.2422,-0.8892,1.1865,-0.0162,2.0014,0.1505,-0.494,-0.5552,-0.2772,0.2971,-0.3076,0.7413,-0.9766,1.5435,0
111,-3.2456,-0.2011,-0.8618,2.9514,0.1782,0.3952,-2.3579,1.4576,-1.3252,-0.8136,-0.48,-2.717,0.3741,-0.4957,0.7208,-1.8212,-1.082,0
112,-2.822,-0.6987,-2.9414,-0.6229,-0.9811,0.1551,-2.2477,-1.804,-1.8266,-1.0295,-0.2211,-2.208,-0.285,0.2711,-1.0618,-0.3602,-1.9367,0
113,-2.3331,-0.261,-2.8723,-2.0688,-1.3178,-2.5922,-3.4501,-1.7127,-1.9069,-2.4071,-0.1461,-2.9494,-0.3394,-1.9005,-2.4447,-1.0944,-2.9843,0
114,-3.7347,-0.4026,-1.837,0.6921,-0.2221,-0.5894,-1.9403,0.6774,1.1963,-1.8242,-0.1484,-2.4082,0.2864,-1.1365,-1.7065,-2.6184,-1.2682,0
