,A1E959,O60635,O95750,O95994,P00750,P01591,P08833,P14136,P14780,P19429,P19801,P21246,P43629,P52823,P55259,P60568,Q29980_Q29983,Q5JZY3,Q8IU54,Q96JP9,Q9P0M4,Q9Y265,Q9Y653
86,-1.2203,-0.3779,-3.2983,0.5908,-1.5898,-0.9406,-2.1369,-1.7785,-0.1943,-3.1707,-2.4088,-2.0965,-1.9989,-0.3422,-2.6236,0.4513,-0.9445,-1.9351,2.1095,-2.205,-1.9024,-1.7841,-2.3192
87,-0.651,-0.5437,-2.5779,-0.6086,0.1583,0.1209,-1.5194,-0.2792,-0.3462,-3.1448,-1.8649,0.73,-1.8073,1.0257,-1.5479,-0.2705,-0.7753,-1.7809,2.9602,-1.4533,0.7143,-1.0242,1.5214
88,-0.4592,-0.5898,-3.4655,-1.3527,-0.8941,-1.253,1.2334,0.574,-0.2897,-1.24,-1.8905,5.0764,-1.9259,0.1461,0.8129,0.5409,0.5366,-1.8818,-1.3825,-1.8593,-0.6177,-0.8384,0.1883
89,0.1456,-0.3776,-2.7207,0.5186,-0.9869,-1.1737,-2.3467,-0.1049,-0.0893,-2.9421,-2.3653,-0.3438,-1.2647,0.3137,-0.9652,-0.233,-1.7172,-2.3208,1.8328,-1.8979,-1.0246,-0.828,-0.6337
90,-0.6212,-0.657,0.6836,-1.4517,-1.4549,-1.4523,-1.72,-0.9097,0.7489,-3.87,-1.9318,-1.3645,-0.8866,0.3645,0.2274,0.4731,-1.4433,-1.8576,0.2593,-1.7485,-1.9363,-1.3937,-2.5561
91,-0.7615,-0.2442,-0.97,-2.6457,-1.4529,-1.2581,-4.5166,-1.2689,-0.1007,-2.0607,-1.747,-0.9144,-1.9819,-1.036,-1.4651,-0.1603,-5.4773,-2.0256,2.708,-1.5584,-0.0127,0.1382,-1.9369
92,-0.8436,-0.5154,-2.1186,0.3019,-1.0727,-2.0791,-1.1406,-0.2169,-0.8594,-3.2655,-2.2857,-1.6215,-4.3637,0.4893,-1.6979,0.6082,-0.7077,-2.2722,1.3475,-2.2101,-1.4633,-0.5738,-3.2921
93,-0.8179,-0.7773,-3.0665,2.4059,-1.1333,-1.0721,-2.6211,-2.0712,-0.7475,-2.337,-1.3611,-1.1526,-1.5003,0.1502,-1.0726,0.1291,-2.0063,-1.1033,1.7227,-1.7866,-0.9805,-1.3522,-0.5657
94,-0.364,-0.3706,-1.1185,-0.1324,-1.5907,-1.4354,-0.3576,0.6278,-1.0956,-4.5936,-1.8297,-0.1256,-2.6946,-0.5179,-0.3596,0.2188,-1.938,-2.0194,0.8269,-1.7543,0.4292,-0.5983,-0.7076
95,-0.4445,-0.287,-2.9802,-1.2581,-1.1824,-0.9954,-5.2188,-1.1401,-0.152,-2.2265,-2.0738,0.4875,-1.3954,-0.5851,-0.9488,-0.3808,-0.5009,-1.7109,1.8631,-1.5006,-0.4389,0.735,-1.2862
96,-0.0648,0.1917,-2.6019,1.6666,-0.6704,-1.4435,-1.5295,-0.6186,-0.1501,-2.7122,-1.8339,-0.4071,-2.1488,-0.6124,-1.1895,0.568,-4.3884,-2.4001,3.1761,-1.6475,-0.5904,-0.3587,-1.8982
97,-1.2212,-0.3884,-2.794,-0.3059,-0.6514,-0.5001,1.1031,0.2371,-0.2705,2.013,-0.2694,-0.8812,-2.1592,0.7495,0.0557,-0.5964,-2.7513,-1.8479,1.463,-1.8296,0.6014,-1.1858,-1.6619
98,-0.7862,-0.576,-2.3676,2.3397,-1.2877,-1.2941,-1.3299,-1.3902,-0.3015,-3.4108,-0.9853,-1.772,-2.0528,-0.4422,-2.3166,-0.312,-2.7833,-2.5845,2.9519,-2.0879,-1.4588,0.726,-2.0069
