,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q969V3,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
137,-0.3111,-1.7715,1.3872,-0.8962,0.0767,-2.396,-0.6509,-0.6957,-0.2392,-0.8499,-2.3952,-2.4443,-1.5628,0
138,1.5248,-2.3147,1.4102,-0.8531,-0.9857,-1.4381,-0.4239,-1.1048,-0.5314,-1.224,-0.5944,-2.2128,-1.9828,0
139,-0.304,-1.5712,1.9963,-0.2042,-0.8028,-2.1811,1.3575,-1.3526,-0.433,-0.8645,-0.5187,-3.4523,-0.9276,0
140,-0.4917,-1.3509,3.5015,0.7798,0.2925,-2.4872,-0.0131,-0.1863,-0.1513,-0.6877,-1.2544,-3.1337,0.2433,0
141,-0.2129,-2.516,-0.3521,-1.1215,0.1883,-2.6084,-0.0099,-1.3883,-0.4686,-0.9889,-1.8653,-2.2764,1.2048,0
142,-0.3534,-1.9925,-1.4808,0.6721,-1.0232,-2.173,-1.7851,-1.2154,1.0616,-1.4799,-0.1981,-1.6014,-0.541,0
143,0.2477,-1.6613,-1.661,-0.524,-0.5065,-2.0084,0.0314,0.8253,0.0101,-0.9892,-1.3207,-1.6269,0.6908,0
144,-0.5834,-2.3295,0.0582,-0.8711,-0.0455,-1.9697,-0.255,-1.9239,-0.3218,-1.4559,-1.527,-1.086,-3.0034,0
145,-0.6163,-2.6326,-1.7926,-1.1365,-0.7239,-2.983,-1.9478,-1.2022,-0.1498,-1.7715,-1.5402,-1.1641,-2.1812,0
146,-0.706,-1.4787,-1.6372,-1.0099,-0.6559,-1.5393,-1.6679,-1.7131,-0.5748,-0.9574,-0.485,-1.7693,-2.2439,0
147,-0.5258,0.0695,-0.5789,-0.7136,-0.6193,-1.5792,1.318,-0.255,-0.3108,-0.9321,-0.2762,-2.38,-0.7827,0
148,-0.6119,-2.3699,0.1127,-0.9485,-0.7786,-2.282,-1.1522,-1.2127,-0.3685,-1.3552,-1.4462,-2.5517,-2.2104,0
149,0.0756,-1.8577,-0.7269,-0.1991,-0.7599,-2.4036,0.3641,0.3071,-0.1588,-0.3984,0.2532,-1.8215,-1.7909,0
150,-0.5267,-1.9532,1.7343,-0.8932,-0.7404,-2.4203,-0.3514,-1.7206,-0.1659,-1.0478,-0.9118,-2.5135,-1.2681,0
151,-0.3981,-0.669,3.1105,-0.1636,-0.0313,-1.6098,0.7223,-0.5405,-0.3921,-0.8575,-0.811,-1.0232,-1.3793,0
152,0.0085,-1.092,-1.0959,0.2961,-1.4405,-1.868,-1.5576,2.8949,0.2146,-1.2109,-0.1813,-3.5053,0.3543,0
153,-0.398,-2.0517,0.8728,-0.9177,-0.2617,-1.4821,-0.267,-0.9403,-0.4738,-1.3441,-0.6135,-1.6977,-2.0356,0
154,0.5269,-1.5094,1.4544,-0.3972,0.0344,-2.5498,0.0193,-0.7237,-0.7718,-0.6704,1.0575,-1.582,-1.5471,0
155,-0.1259,-0.9394,-0.4775,0.0868,-1.1585,-1.5866,-0.1852,0.2838,-0.2569,-0.8219,2.0231,-3.7345,-0.4382,0
156,-0.7038,-1.7521,-0.6806,-1.6469,-2.3832,-1.986,-0.9663,0.4979,0.0674,-1.5017,0.5012,-1.9005,-2.6875,0
157,-0.6844,-1.8609,-0.6074,-0.9041,-1.2345,-3.3155,-1.454,1.2249,-0.864,-1.878,-1.6742,-1.8801,-2.5658,0
158,-0.2161,-2.3166,2.9657,-1.2553,0.1852,-2.2483,-0.11,-2.1513,-0.1593,-1.2845,-1.7238,-1.8587,-1.5178,0
159,-0.6323,-2.099,-1.1371,-1.3611,-0.4803,-2.2855,-1.4457,-0.4812,-0.4701,-1.5918,-0.7574,-1.6879,-2.0995,0
160,-0.4621,-1.8572,-0.7463,-0.8255,-0.6518,-2.6646,-1.3317,-1.1443,-0.4027,-1.0312,-1.0539,-1.3729,-0.5812,0
161,-0.6381,-1.1228,2.1332,-1.169,0.046,-1.6887,0.219,1.1459,-0.3343,-0.7552,-1.4037,-2.6577,-1.0736,0
162,-0.1707,-2.3092,2.0456,-0.9628,0.4002,-1.536,-0.2436,-0.7144,-0.4294,-0.966,-1.1485,-2.6719,-1.1277,0
163,-0.542,-1.4238,0.2228,-0.8032,0.0827,-1.9887,0.2762,-1.5327,-0.2104,-0.9914,-0.88,-1.4371,-1.2768,0
164,-0.7844,-0.8507,-0.0822,-1.0112,-1.5635,-1.2677,0.7929,-0.8759,0.6038,-0.1225,3.2687,-3.3786,-1.0221,0
165,-0.5211,-2.3141,3.2406,-1.6049,-0.5466,-1.9603,-0.4878,-0.9067,-0.4658,-1.6548,-0.9218,-1.948,-0.1332,0
166,-0.8031,-2.7922,-0.0937,-1.7751,-1.3394,-1.4398,-0.7631,-2.0558,-0.0931,-1.8762,0.1259,-2.3538,-2.8915,0
167,-0.48,-1.4352,0.5022,0.07,0.5069,-2.276,-0.3454,-0.4921,-0.2635,-0.6313,-0.952,-1.0631,-1.6403,0
168,-0.4108,-0.1576,-0.1704,-1.0549,-0.6413,-1.0188,0.4995,1.2254,-0.2561,0.2484,-0.2108,-1.2778,-1.3377,0
169,-0.0173,-1.7088,1.7546,-0.3493,-1.6433,-1.9272,-1.9503,-0.0544,-0.2403,-1.2994,-0.1954,-4.6236,-1.6234,0
170,-0.5442,-2.0838,-1.2114,-0.7936,0.0713,-2.8826,-0.5933,-0.8712,-0.4481,-1.1262,-1.4475,-2.3757,-2.1736,0
171,-0.188,-1.9283,-1.7959,-0.9414,0.3365,-2.7458,-1.5028,-2.0284,-0.1085,-1.1654,0.4157,-2.0036,-2.136,0
172,-0.4921,-1.1189,-0.733,0.62,0.9633,-1.7929,-1.2046,0.4908,0.3374,-1.5033,0.5215,-2.2536,-0.5386,0
