,P07585,P52823,Q9P0M4,Q9UGM5,Q9Y653,Class Label
253,-1.9859,0.7578,-0.1961,-2.1951,-1.3867,0
254,-1.7059,-0.4037,-1.8355,-3.1318,-0.3358,0
255,-1.006,-0.292,-0.522,-2.2702,-0.8892,0
256,-1.144,0.9662,0.6449,-3.1559,-1.4814,0
257,1.4063,2.6497,0.9179,-3.7555,0.3014,0
258,-1.5039,-0.2982,-1.1212,-1.2501,-1.6773,0
259,-0.2906,0.5266,-0.3957,-2.8872,-0.0211,0
260,-0.7283,-0.2943,-1.6236,-2.6147,-1.6413,0
261,-2.5549,-1.1821,-1.3773,-1.3006,-2.59,0
262,-2.5791,-2.4139,-0.7971,-0.3269,-2.5395,0
263,-1.4613,-1.4115,-0.4166,-2.3477,-1.2562,0
264,-1.2353,0.3554,-0.9749,-1.7089,-0.9806,0
265,-2.2763,-0.577,-0.9649,-2.5391,-1.8882,0
266,-2.0107,-1.1682,-0.6773,-2.5097,-2.182,0
267,-1.3693,-0.8643,-1.8825,-1.3883,-1.8288,0
268,-1.7936,0.2154,-1.0684,-2.2914,-2.1164,0
269,-0.0057,0.2312,-1.0475,-1.743,-1.6649,0
270,-1.169,0.2213,-1.2686,-2.2114,-1.0788,0
271,-1.3396,1.017,5.2428,-3.015,0.641,0
272,-2.574,-1.4633,-0.9808,-0.5783,-2.9659,0
273,-2.0258,1.3804,-1.2762,-2.6675,-2.042,0
274,-1.2329,-0.5443,1.027,-2.1569,-0.623,0
275,-1.9165,-0.4043,-1.8045,-2.2606,-1.2257,0
276,-1.5952,-1.1523,-1.9705,-1.4744,0.2556,0
277,-1.7317,0.1105,-0.9486,-0.8066,-1.9615,0
278,-2.3186,-1.0771,-1.1831,-1.673,-1.8903,0
279,-1.5423,-0.9144,-0.7536,-2.4066,-1.5284,0
280,-1.8901,0.4446,-2.2363,-0.7416,-1.0064,0
281,-1.0279,0.4536,-1.3892,-1.7983,0.9456,0
282,1.0033,0.1676,-0.9124,-1.5752,1.9186,0
283,-1.7306,-0.0779,1.6805,-2.5444,-0.7999,0
284,-2.3781,-1.1465,-1.8455,-2.1839,-1.6067,0
285,-2.1795,-1.3392,-1.8469,-2.8137,-1.7769,0
286,-1.6297,-1.0559,-1.2494,-3.5413,0.0735,0
287,-1.9653,-0.532,-0.7069,-1.5953,-1.4617,0
288,-2.4097,-1.0062,-1.5811,-0.8282,-1.9708,0
289,-2.0246,-0.538,-1.152,-1.7286,-2.5807,0
290,-1.6006,-0.0854,-2.0257,-4.0671,-1.3954,0
291,-1.9713,-0.3551,-0.96,-1.5669,-1.7137,0
292,-1.5704,-0.9493,0.77,-2.5073,-2.2534,0
293,-2.2105,-1.0269,-1.7072,-1.8336,-1.9853,0
294,-2.2615,-1.4356,-2.1149,-1.2508,-2.2718,0
295,-0.9263,-0.251,1.4212,-2.5861,-0.2377,0
296,-0.4382,0.7121,-1.2606,-1.9931,-1.2168,0
297,-1.9182,-1.4749,-0.095,-2.2108,-2.0489,0
298,-2.253,-1.2059,-0.7367,-1.819,-2.3928,0
299,-1.8455,-0.3943,-0.6777,-1.4664,-0.1327,0
300,-1.6698,-0.7358,-1.728,-1.9645,-1.3289,1
301,-1.7183,0.2492,-1.293,-2.3505,-1.5457,1
302,-1.3357,0.6477,1.0042,-2.0505,0.7337,1
303,-0.2333,0.0309,4.271,-5.157,-1.1411,1
304,-0.3897,-0.0671,1.0018,-2.2462,1.2965,1
305,-1.8491,-0.3764,-0.7777,-2.3959,0.1129,1
306,-2.0934,0.2633,-0.3823,-2.9718,0.1339,1
307,0.4121,-0.4539,0.8902,-3.7308,-1.0914,1
308,-1.328,1.07,0.8112,-4.0363,-0.4369,1
309,0.0911,0.0009,2.0805,-4.1356,0.6329,1
310,0.8285,2.9389,2.8119,-4.9678,0.0035,1
311,-0.9168,1.6184,-0.834,-3.0488,-0.241,1
312,-1.4345,1.6595,3.6428,-2.8282,0.4174,1
313,-0.6767,0.9809,2.9789,-3.7893,0.1196,1
314,-1.3301,0.5496,-1.8018,-2.8445,-0.6587,1
315,0.2764,0.1294,1.7462,-1.6279,0.1842,1
