,O15232,O60635,P00750,P07585,P08727,P08833,P14136,P16234,P18627,P19429,P52823,P55259,Q9P0M4,Q9Y653
86,-0.448,-0.3779,-1.5898,-2.52,0.7693,-2.1369,-1.7785,-1.7687,-0.6463,-3.1707,-0.3422,-2.6236,-1.9024,-2.3192
87,-0.2772,-0.5437,0.1583,-1.0087,1.089,-1.5194,-0.2792,-1.1603,0.7093,-3.1448,1.0257,-1.5479,0.7143,1.5214
88,-0.4958,-0.5898,-0.8941,-0.1649,0.6779,1.2334,0.574,0.3529,-0.1382,-1.24,0.1461,0.8129,-0.6177,0.1883
89,0.1573,-0.3776,-0.9869,-1.7197,2.0998,-2.3467,-0.1049,-1.2672,-0.8499,-2.9421,0.3137,-0.9652,-1.0246,-0.6337
90,0.1754,-0.657,-1.4549,-1.4224,-0.1384,-1.72,-0.9097,-1.5261,-1.1627,-3.87,0.3645,0.2274,-1.9363,-2.5561
91,-1.4813,-0.2442,-1.4529,-1.8327,-1.0365,-4.5166,-1.2689,-1.3937,-0.471,-2.0607,-1.036,-1.4651,-0.0127,-1.9369
92,-0.9889,-0.5154,-1.0727,-1.8003,1.9552,-1.1406,-0.2169,-1.0862,-0.6334,-3.2655,0.4893,-1.6979,-1.4633,-3.2921
93,-1.2926,-0.7773,-1.1333,-2.1074,1.5988,-2.6211,-2.0712,-1.5102,-0.003,-2.337,0.1502,-1.0726,-0.9805,-0.5657
94,-1.0735,-0.3706,-1.5907,-1.5818,-0.5892,-0.3576,0.6278,-1.5825,0.4079,-4.5936,-0.5179,-0.3596,0.4292,-0.7076
95,-2.0787,-0.287,-1.1824,-0.9892,-1.8291,-5.2188,-1.1401,-1.6142,0.1438,-2.2265,-0.5851,-0.9488,-0.4389,-1.2862
96,0.46,0.1917,-0.6704,-1.6149,2.1125,-1.5295,-0.6186,-1.8883,0.2219,-2.7122,-0.6124,-1.1895,-0.5904,-1.8982
97,-1.8443,-0.3884,-0.6514,-1.7112,-1.592,1.1031,0.2371,-1.6817,0.3122,2.013,0.7495,0.0557,0.6014,-1.6619
98,-1.0624,-0.576,-1.2877,-1.8736,0.9495,-1.3299,-1.3902,-1.3927,-0.574,-3.4108,-0.4422,-2.3166,-1.4588,-2.0069
99,-1.4788,-0.346,-2.2953,-1.3739,-0.3744,1.4413,-0.5134,-1.3024,-1.8992,-2.7855,-1.4589,-1.3916,-0.512,-1.7349
100,-1.7339,-0.6044,-2.2275,-2.6817,-1.3552,-1.9633,-1.142,-2.1198,-0.7542,-4.0833,-0.3609,-2.2701,-2.1554,-2.2859
101,-0.5471,0.0089,-0.8316,-2.2348,-0.4278,-1.0756,-0.9724,-1.6415,-0.4585,-2.7957,0.5546,-1.3697,-2.3054,0.3621
102,-0.6279,-0.5795,-2.5992,0.4861,0.2889,-0.2303,0.0474,-0.6552,0.1161,-3.3542,0.1653,1.7113,0.8313,-1.3527
103,-1.0543,-0.19,-1.3732,-1.8613,-1.2057,-2.814,-1.193,-2.2218,-0.1808,-3.3983,-0.7821,-0.3853,-2.2072,-1.9461
104,-2.3397,-0.6829,-1.6884,-2.1993,-1.5749,-1.4177,-1.2052,-1.5694,-0.9997,-2.617,-0.9329,-2.4762,0.7769,-0.8245
105,0.849,1.2687,0.0617,-0.0552,5.2902,2.0013,-0.8051,-0.7316,1.0022,-1.717,2.1297,3.1662,-0.2815,1.4189
106,-0.7051,-0.8096,-0.9183,-1.7509,-0.1523,1.9083,-0.2829,-0.7873,-0.09,-3.3083,-1.0505,-2.2311,-0.5876,-1.4822
107,-0.3908,0.309,-0.3573,-2.1304,1.3037,-1.6704,-1.9735,-1.2227,-0.391,-2.9514,-0.2217,-0.2163,-1.7325,0.0998
108,-0.5732,-0.2616,-1.3233,-1.6582,0.2945,-3.8141,-1.3388,-1.9096,-0.157,-3.0386,0.6958,-2.1744,-1.0932,-1.7773
109,-0.2803,-0.5937,-2.4197,0.3221,0.8956,0.9418,0.3344,0.0375,-0.0546,-1.2448,0.6811,0.7363,-0.5652,-1.1602
110,-1.0938,-0.5728,-0.6509,-0.6004,1.2422,2.4703,-0.8892,0.0185,1.1865,-3.3259,2.0014,0.1505,0.7413,1.5435
111,-0.4183,-0.2011,-0.4301,-0.8618,2.9514,2.4494,0.1782,-1.4823,0.3952,-0.4383,1.4576,-1.3252,0.7208,-1.082
112,-1.4381,-0.6987,-2.2649,-2.9414,-0.6229,3.1664,-0.9811,-1.6583,0.1551,-3.2452,-1.804,-1.8266,-1.0618,-1.9367
113,-0.1827,-0.261,-2.5501,-2.8723,-2.0688,-2.7802,-1.3178,-2.3055,-2.5922,-3.0285,-1.7127,-1.9069,-2.4447,-2.9843
114,-0.608,-0.4026,-1.058,-1.837,0.6921,-0.7348,-0.2221,-1.4412,-0.5894,-2.8198,0.6774,1.1963,-1.7065,-1.2682
115,-2.8075,-0.3949,-0.7345,-1.9253,-1.4518,-2.0668,-0.8188,-1.968,-2.1947,-2.9055,-1.7967,0.9908,-1.8553,-1.8654
116,-1.4582,-0.802,-1.948,-2.63,0.0353,1.0539,-1.5418,-1.9325,-1.3765,-3.1298,1.0365,-1.9931,0.5255,-2.1145
117,-0.5545,-0.0731,1.5559,-0.8138,2.8818,2.8758,0.1983,-0.9265,0.4331,-2.6624,3.4017,-1.0554,-0.7978,-0.8081
118,-1.4578,-0.2905,-1.5166,-1.6267,0.1981,-2.5039,-1.3529,-1.9851,-0.2974,-2.745,-0.7445,-1.1114,-0.7296,-2.3782
119,-0.3304,-0.452,-0.0534,-2.3106,0.6119,0.7084,-2.0707,-1.643,-0.8135,-2.8607,0.7478,-0.5601,-2.9989,-0.3071
120,-1.0393,-0.631,-1.7685,-2.2741,0.4228,-4.8377,-1.357,-1.7091,-0.3395,-2.8331,-0.2564,-2.6035,-0.4172,-2.9649
121,-0.2159,0.5063,-1.5183,-1.1197,2.7187,0.9943,-0.696,-1.5566,-1.0354,-1.5293,1.3,0.2997,-1.2921,-1.3614
122,-0.0028,-0.6531,0.5471,-1.4918,0.2497,0.1493,0.7344,-1.0912,0.5584,-3.4854,0.17,-0.9222,-1.3394,-1.2085
123,-0.1489,-0.6037,-1.8414,-2.5238,-1.7611,-3.6931,-1.293,-1.8255,-0.6497,-4.0857,-1.0352,-1.0638,-1.658,-1.8712
124,-0.8083,-0.6718,-1.564,-2.846,-0.597,-4.0849,-2.0069,-2.2332,-0.9536,-2.9739,-1.4025,-2.8065,-1.2323,-2.5156
125,-1.8783,-0.3344,-1.0545,-2.1265,0.1455,-2.869,-1.391,-1.7717,-0.2152,-3.3808,-1.1631,-2.7558,-2.0573,-2.8773
126,-1.6913,-0.4279,-1.8079,-2.4381,-1.0631,-3.1279,-1.5292,-1.728,-0.3952,-3.2048,-0.9513,-1.8022,-1.8112,-2.5561
127,-1.0715,-0.7475,-1.1356,-1.4608,0.0892,0.2444,0.8782,-0.6306,-0.0293,-2.3509,-1.3903,-1.1547,1.7847,0.6602
128,-1.0436,-0.5718,-0.8216,-1.5597,0.3064,-1.5256,-0.7694,-1.2779,-0.0572,-2.6211,-1.1692,0.253,-0.6618,-0.808
129,-1.3875,-0.6773,-1.4961,-1.8778,0.9303,-2.7641,-1.2764,-2.2777,-0.996,-3.1788,-0.4291,-0.6705,-1.4687,-0.4982
130,-2.2685,-0.3009,-1.8577,-2.0153,-2.6781,-5.0606,-1.3452,-2.0507,-1.1548,-2.1159,-0.7564,-2.2929,-1.5801,-2.4524
131,-2.2704,-0.4223,-1.0043,-2.4304,-1.8127,-2.9568,-1.4335,-1.6418,-2.3344,-2.6711,-1.2611,-0.0561,-2.0675,-1.8188
132,-0.7404,1.3777,-2.0549,-1.7876,-1.9223,-0.1787,-1.0982,-1.2279,-1.0838,-2.0856,-0.9416,-0.1522,-0.8471,-2.1033
133,-2.4698,-0.638,-1.3337,-2.5337,-0.4366,-2.5132,-0.2939,-1.8184,-0.6936,-2.9284,-0.7125,-1.0321,-0.5944,-2.7871
134,0.0804,-0.5973,-0.5804,-0.5874,1.0863,-1.1896,-0.5056,-0.947,0.0108,-2.2633,-0.1712,2.7287,-0.0148,-1.5997
135,-1.4967,-0.6634,-2.0992,-2.5751,-0.9239,-4.5541,-1.4407,-1.5178,-0.8034,-2.7803,-1.5003,-1.679,-1.8398,-1.9098
136,-0.0137,-0.7351,-2.0779,-0.3091,-1.1008,2.2402,-1.0969,-0.7692,-0.263,0.3258,0.3492,-0.7866,-0.2111,-1.9713
137,-0.6576,-0.3111,-1.619,-1.7715,1.3872,1.9162,-0.8962,-1.5772,0.0767,-3.3687,-0.6509,-0.6957,-2.3952,-1.5628
138,-1.2136,1.5248,-1.0195,-2.3147,1.4102,-2.0555,-0.8531,-1.6388,-0.9857,-3.0353,-0.4239,-1.1048,-0.5944,-1.9828
139,-0.5853,-0.304,-0.379,-1.5712,1.9963,3.1635,-0.2042,-0.1482,-0.8028,-3.5672,1.3575,-1.3526,-0.5187,-0.9276
140,0.4262,-0.4917,-0.958,-1.3509,3.5015,-2.3791,0.7798,-0.9779,0.2925,-3.7632,-0.0131,-0.1863,-1.2544,0.2433
141,-0.1683,-0.2129,-1.193,-2.516,-0.3521,-2.925,-1.1215,-1.4867,0.1883,-3.5394,-0.0099,-1.3883,-1.8653,1.2048
142,-1.896,-0.3534,-2.1133,-1.9925,-1.4808,-2.949,0.6721,-1.7895,-1.0232,-2.8801,-1.7851,-1.2154,-0.1981,-0.541
143,-0.654,0.2477,0.3256,-1.6613,-1.661,-1.2609,-0.524,-2.1829,-0.5065,-1.584,0.0314,0.8253,-1.3207,0.6908
144,-0.9711,-0.5834,-1.6436,-2.3295,0.0582,-1.5511,-0.8711,-1.7645,-0.0455,-3.8744,-0.255,-1.9239,-1.527,-3.0034
145,-2.0546,-0.6163,-2.7308,-2.6326,-1.7926,-2.8781,-1.1365,-2.0502,-0.7239,-3.705,-1.9478,-1.2022,-1.5402,-2.1812
146,-1.5837,-0.706,-2.1525,-1.4787,-1.6372,-0.8268,-1.0099,-1.3265,-0.6559,-3.2975,-1.6679,-1.7131,-0.485,-2.2439
