,O15232,O60635,P00750,P08727,P08833,P14136,P16234,P18627,P19429,P21246,P52823,P55259,Q8IU54,Q96JP9,Q9P0M4,Q9Y653,Class Label
93,-1.2926,-0.7773,-1.1333,1.5988,-2.6211,-2.0712,-1.5102,-0.003,-2.337,-1.1526,0.1502,-1.0726,1.7227,-1.7866,-0.9805,-0.5657,0
94,-1.0735,-0.3706,-1.5907,-0.5892,-0.3576,0.6278,-1.5825,0.4079,-4.5936,-0.1256,-0.5179,-0.3596,0.8269,-1.7543,0.4292,-0.7076,0
95,-2.0787,-0.287,-1.1824,-1.8291,-5.2188,-1.1401,-1.6142,0.1438,-2.2265,0.4875,-0.5851,-0.9488,1.8631,-1.5006,-0.4389,-1.2862,0
96,0.46,0.1917,-0.6704,2.1125,-1.5295,-0.6186,-1.8883,0.2219,-2.7122,-0.4071,-0.6124,-1.1895,3.1761,-1.6475,-0.5904,-1.8982,0
97,-1.8443,-0.3884,-0.6514,-1.592,1.1031,0.2371,-1.6817,0.3122,2.013,-0.8812,0.7495,0.0557,1.463,-1.8296,0.6014,-1.6619,0
98,-1.0624,-0.576,-1.2877,0.9495,-1.3299,-1.3902,-1.3927,-0.574,-3.4108,-1.772,-0.4422,-2.3166,2.9519,-2.0879,-1.4588,-2.0069,0
99,-1.4788,-0.346,-2.2953,-0.3744,1.4413,-0.5134,-1.3024,-1.8992,-2.7855,-0.1017,-1.4589,-1.3916,-0.5791,-1.6566,-0.512,-1.7349,0
100,-1.7339,-0.6044,-2.2275,-1.3552,-1.9633,-1.142,-2.1198,-0.7542,-4.0833,-1.0252,-0.3609,-2.2701,0.7979,-1.4783,-2.1554,-2.2859,0
101,-0.5471,0.0089,-0.8316,-0.4278,-1.0756,-0.9724,-1.6415,-0.4585,-2.7957,-1.8652,0.5546,-1.3697,1.2858,-1.675,-2.3054,0.3621,0
102,-0.6279,-0.5795,-2.5992,0.2889,-0.2303,0.0474,-0.6552,0.1161,-3.3542,-0.7703,0.1653,1.7113,0.21,-1.4114,0.8313,-1.3527,0
103,-1.0543,-0.19,-1.3732,-1.2057,-2.814,-1.193,-2.2218,-0.1808,-3.3983,-1.0604,-0.7821,-0.3853,0.9523,-1.5684,-2.2072,-1.9461,0
104,-2.3397,-0.6829,-1.6884,-1.5749,-1.4177,-1.2052,-1.5694,-0.9997,-2.617,-0.875,-0.9329,-2.4762,-0.6778,-1.9053,0.7769,-0.8245,0
105,0.849,1.2687,0.0617,5.2902,2.0013,-0.8051,-0.7316,1.0022,-1.717,0.1278,2.1297,3.1662,3.6979,-1.5759,-0.2815,1.4189,0
106,-0.7051,-0.8096,-0.9183,-0.1523,1.9083,-0.2829,-0.7873,-0.09,-3.3083,-1.5822,-1.0505,-2.2311,1.118,-2.3048,-0.5876,-1.4822,0
107,-0.3908,0.309,-0.3573,1.3037,-1.6704,-1.9735,-1.2227,-0.391,-2.9514,-1.0989,-0.2217,-0.2163,0.3184,-1.9455,-1.7325,0.0998,0
108,-0.5732,-0.2616,-1.3233,0.2945,-3.8141,-1.3388,-1.9096,-0.157,-3.0386,-0.7061,0.6958,-2.1744,1.9798,-1.4408,-1.0932,-1.7773,0
