Q9Y653,Q9P0M4,P07585,P16234,P52823,P14136,P08833,P55259,O60635,P19429,Class Label
-1.1193,2.8034,0.3794,-0.3142,2.4421,0.9134,3.4898,0.32,-0.564,-0.2309,0
-2.1545,-1.1919,-1.161,-1.1892,-0.3654,0.1918,-1.2637,-1.1949,-0.6915,-3.4272,0
0.0054,-0.2053,-0.61,0.191,1.3189,-0.4435,3.3988,-0.1633,-0.4765,0.3128,0
-2.1215,-1.961,-2.0074,-1.689,-1.3178,-1.1756,-2.2717,-2.4301,-0.6271,-2.678,0
-1.9788,0.0944,-1.6852,-1.3105,-0.4685,0.2499,-1.5194,-1.8664,-0.5892,-3.0108,0
-1.1604,-2.3472,-1.9847,-1.5776,-0.5552,0.0227,1.6101,-0.9189,-0.4078,-2.8488,0
-2.2373,-0.4336,-2.5552,-1.2759,-1.2434,-0.6521,-0.9105,-2.1221,-0.2667,-3.5006,0
-1.0166,-0.1493,-0.9791,-1.6225,-0.1226,-1.0108,-0.43,-1.294,-0.4148,-3.3662,0
-1.5974,0.0749,-2.1885,-1.2751,-0.061,-0.7625,-3.3154,-1.1075,-0.5096,-2.7795,0
-0.0822,1.0072,-0.7779,-1.347,-0.4417,-0.0346,-0.9656,-0.3335,-0.3998,-1.9619,0
-1.3129,-0.7116,-2.2819,-1.934,-1.4646,-0.9749,-2.7066,-1.3195,-0.8124,-2.504,0
-1.8599,-0.6987,-1.7354,-0.5814,-0.3718,-0.0315,-0.7443,-0.6935,-0.4451,-1.9426,0
-2.0619,-1.1718,-2.3053,-1.1756,-0.7689,-0.1153,-2.8008,-2.2084,-0.8196,-2.7087,0
-3.3895,-1.1687,-1.9267,-2.0861,-0.5585,-1.0597,-0.8064,-1.686,-0.3911,-3.1013,0
-1.5023,-1.7661,-2.4416,-1.7077,-1.4197,-1.3903,-3.8067,-1.2227,-0.4731,-2.6473,0
-2.1389,-0.9532,-1.9225,-1.119,-1.039,-0.7961,-3.4146,-0.6734,-0.3805,-2.7088,0
-2.4532,-1.9706,-1.8646,-1.4137,-0.0838,-0.6377,-2.9519,-1.9877,-0.5498,-3.2108,0
-2.691,1.1923,-0.6369,-0.1019,-0.9221,-0.3354,2.7033,4.0274,-0.1674,-2.3413,0
1.3561,-0.5128,-1.2349,-1.2436,-0.2801,-0.4408,-0.4235,-1.713,-0.5747,-3.1532,0
-1.7102,-1.3018,-1.7602,-0.7931,0.6007,-1.6611,-3.9614,-1.9656,-0.6316,-2.7786,0
-0.2482,-0.6518,-1.9677,-1.5897,-0.8075,-0.699,-3.0774,-1.1185,-0.5231,-2.9943,0
1.3828,0.146,-0.3699,-0.6907,0.8774,-0.4811,1.5726,6.0037,-0.562,-2.6347,0
-1.6762,-1.8198,-1.3826,-1.1707,-0.2362,-0.7525,-1.9752,2.2262,-0.8339,-2.4411,0
-1.9502,-1.6364,-2.5529,-1.2595,-1.1716,-0.8904,-2.3757,0.4152,-0.7159,-3.6464,0
-1.3141,-1.1047,-1.3865,-1.3587,0.1072,-1.4545,-3.1132,-0.8722,-0.6415,-2.6642,0
-2.0374,-1.5249,-1.2478,-1.4362,1.1996,-1.7148,-2.5269,0.3339,-0.5845,-0.0782,0
-1.5841,-0.2048,-1.4662,-1.0692,0.5521,-1.0023,-3.1159,-0.1436,-0.595,-3.1988,0
-1.8495,1.0674,0.0562,-0.7957,-0.3198,0.0635,0.6519,-0.3392,-0.4744,-2.7781,0
-2.3257,-1.8769,-3.117,-2.1619,-0.9474,-1.5555,-4.7316,-1.9127,-0.3995,-3.9396,0
-2.1518,-1.7206,-1.9958,-1.6358,-1.2171,-1.1417,-2.1864,-0.9349,-0.2898,-3.4662,0
-1.8051,-2.3948,-2.2149,-1.8185,-0.6925,-1.3092,-1.9531,-0.9349,-0.431,-2.3473,0
-1.6532,-0.0627,-1.9175,-1.4353,-1.0519,-0.8775,2.1569,-1.3226,-0.2308,-3.089,0
-3.0713,-1.3403,-2.656,-2.2658,-1.4796,-1.4984,-3.6474,-2.609,-0.4885,-3.0874,0
-0.4295,-0.5984,-1.6065,-1.2119,-1.6213,-0.821,2.6352,-0.1068,-0.4121,-1.6118,0
-1.725,-2.973,-2.4236,-1.9784,-0.5163,-0.4761,-0.017,-1.0168,-0.5011,5.1052,0
0.014,-0.5366,-1.1345,-1.4573,-0.6588,0.0507,-1.6932,1.2133,-0.4679,-3.3676,0
-0.0208,0.6575,0.2205,-0.5424,1.8225,0.3606,2.5095,-0.869,-0.2813,0.3506,0
0.266,-0.7019,-1.6871,-1.5945,-1.2969,-1.347,-3.8096,-1.4903,-0.2138,-0.8487,0
0.6285,0.6627,-0.261,-0.2502,0.2181,-0.1502,0.2156,-0.8512,-0.6715,-1.7369,0
-1.7473,-1.6607,-1.787,-1.4042,-0.207,-1.0638,-0.9566,1.2416,-0.3136,-2.6226,0
-0.3393,2.1852,0.8885,-0.3053,1.85,-0.0109,2.609,1.4402,-0.4264,-1.6417,0
-0.6117,0.5495,-0.9695,-1.2999,-0.9173,-0.8144,-0.6744,1.7674,-0.4343,-2.5467,0
-0.3792,-1.9041,-1.5764,-1.6659,0.015,-1.8699,-1.774,-1.3909,-0.5479,-2.8274,0
-1.3295,2.0649,-1.2014,-1.7378,4.8475,-0.4767,3.8243,-1.9408,-0.5404,1.4702,0
0.3587,-0.9737,-1.3667,-1.0936,0.1138,0.0161,-0.968,0.4009,2.5645,-2.3409,0
